basin_id,PFAF_ID,upstream_area_km2,basin_area_km2,wetland_hex_count,wetland_area_hectares,total_carbon,protected_fraction,avg_ncp_score,composite_score,country,country_code
7060468870,742954,54224.2,54224.2,52114,3842509.04,27848346.0,0.093,0.453,0.656,United States,US
7060044360,732573,10042.5,10042.5,13403,988240.18,104702831.0,0.49,0.853,0.655,United States,US
7060043860,732560,24673.8,24673.4,28125,2073733.87,22062072.0,0.06,0.654,0.586,United States,US
7060022280,713300,29723.3,29723.3,34095,2513918.45,107273425.0,0.129,0.848,0.807,Canada,CA
7060276840,712242,51914.8,51914.8,63005,4645532.53,77840679.0,0.055,0.106,0.68,Canada,CA
7060023960,713540,18593.5,18593.5,21558,1589530.84,70165077.0,0.0,0.573,0.637,Canada,CA
7060051220,753715,63368.0,63368.0,56548,4169440.1,69798685.0,0.278,0.74,0.866,Mexico,MX
7060075070,753710,36066.2,36066.2,20027,1476645.98,14626168.0,0.044,0.607,0.532,Mexico,MX
7060004670,771191,2492.3,2492.3,47,3465.44,43923.0,0.0,1.053,0.514,Mexico,MX
4060154710,422499,41359.4,41359.2,44298,3266213.79,24410238.0,0.081,0.154,0.768,China,CN
4060213920,422416,20699.0,20698.2,28950,2134563.4,17984046.0,0.007,0.535,0.73,China,CN
4060780120,434962,33946.5,33946.2,25441,1875835.14,11361170.0,0.108,0.653,0.646,China,CN
4060005050,424200,25245.3,25245.3,19424,1432185.13,4375953.0,0.28,0.805,0.879,South Korea,KR
4060003940,424102,23296.4,23296.4,19575,1443318.77,2199144.0,0.088,0.203,0.654,South Korea,KR
4060004690,424109,9033.5,9033.5,14374,1059834.69,673158.0,0.035,0.524,0.594,South Korea,KR
4060019420,444037,18525.5,18525.5,18449,1360295.69,8266017.0,0.133,0.602,0.771,Thailand,TH
4060021590,444077,16587.4,16587.4,9276,683945.08,11754086.0,0.206,0.742,0.748,Thailand,TH
4060018230,443040,22003.6,22003.5,20267,1494341.84,3525396.0,0.087,0.703,0.729,Thailand,TH
2060051160,233023,34123.6,34123.6,50671,3736112.67,54955700.0,0.384,0.695,0.828,United Kingdom,GB
2060050790,233021,10270.5,10270.5,13703,1010360.01,21366396.0,0.123,0.752,0.572,United Kingdom,GB
2060049690,233017,19221.9,19221.9,17785,1311337.13,28451190.0,0.371,0.687,0.546,United Kingdom,GB
2060021230,232305,24254.8,24254.8,13015,959631.87,7814810.0,0.258,0.505,0.812,France,FR
2060502920,232240,21027.9,21027.9,10562,778765.41,5727431.0,0.284,0.329,0.647,France,FR
2060536370,216026,20543.1,20543.1,9257,682544.16,3985500.0,0.365,0.502,0.59,France,FR
2060018360,231201,56432.9,15970.0,11281,831779.26,6304305.0,0.223,0.85,0.907,Spain,ES
2060615620,216042,22719.3,22718.7,7890,581751.47,5466492.0,0.312,0.547,0.7,Spain,ES
2060598470,216049,15112.4,15112.3,6344,467760.63,3294130.0,0.282,0.373,0.544,Spain,ES
6060294360,622921,378762.4,61836.1,66825,4927191.67,142572413.0,0.571,0.835,0.735,Brazil,BR
6060269510,622972,78451.5,78451.3,66610,4911339.13,148601298.0,0.608,0.701,0.699,Brazil,BR
6060287830,622941,270155.7,40923.6,50514,3724536.63,181332932.0,0.615,0.781,0.695,Brazil,BR
6060036450,661002,49115.8,49115.8,34017,2508167.29,50305952.0,0.289,0.63,0.782,Chile,CL
6060038660,661100,19189.2,19189.2,23408,1725936.44,63933206.0,0.901,0.617,0.601,Chile,CL
6060025140,661700,13028.0,13028.0,17374,1281032.97,29289888.0,0.357,0.578,0.547,Chile,CL
5060077790,569001,66030.8,66030.8,34047,2510379.27,95835397.0,0.51,0.819,0.827,Australia,AU
5060456070,568610,121112.8,17240.7,9030,665806.82,2530883.0,0.02,0.97,0.56,Australia,AU
5060049720,562995,41405.3,41405.3,20500,1511521.58,20521613.0,0.347,0.669,0.535,Australia,AU
4060838850,452910,256374.3,21484.8,14005,1032627.3,16171226.0,0.0,0.802,0.751,India,IN
4060048470,446000,8463.1,8463.1,7253,534783.71,14458760.0,0.0,0.908,0.727,India,IN
4060865930,452700,320576.3,22704.7,21724,1601770.47,8452995.0,0.0,0.795,0.658,India,IN
